date,open,high,low,close,preclose,volume
2020/1/2,7542.399902,7624.799805,7542.399902,7604.299805,7604.299805,482206700
2020/1/3,7604.299805,7626.399902,7551,7622.399902,7622.399902,475628900
2020/1/6,7622.399902,7622.399902,7528.100098,7575.299805,7575.299805,516783400
2020/1/7,7575.299805,7604.600098,7562.100098,7573.899902,7573.899902,511576100
2020/1/8,7573.899902,7579.5,7525,7574.899902,7574.899902,606225000
2020/1/9,7574.899902,7627.799805,7574.899902,7598.100098,7598.100098,653838100
2020/1/10,7598.100098,7632,7585.100098,7587.899902,7587.899902,651315600
2020/1/13,7587.899902,7635.799805,7582.5,7617.600098,7617.600098,659019400
2020/1/14,7617.600098,7650.700195,7588.799805,7622.399902,7622.399902,697648200
2020/1/15,7622.399902,7642.799805,7609.399902,7642.799805,7642.799805,730575200
2020/1/16,7642.799805,7653.600098,7595.299805,7609.799805,7609.799805,573564200
2020/1/17,7609.799805,7689.700195,7609.799805,7674.600098,7674.600098,631970100
2020/1/20,7674.600098,7682.799805,7639.600098,7651.399902,7651.399902,358980900
2020/1/21,7651.399902,7651.399902,7550.5,7610.700195,7610.700195,656519300
2020/1/22,7610.700195,7637.399902,7563.5,7571.899902,7571.899902,604636000
2020/1/23,7571.899902,7572.100098,7503.200195,7507.700195,7507.700195,668616300
2020/1/24,7507.700195,7642.200195,7507.600098,7586,7586,605760000
2020/1/27,7586,7586,7392.799805,7412.100098,7412.100098,679457100
2020/1/28,7412.100098,7491.399902,7410.399902,7480.700195,7480.700195,535852000
2020/1/29,7480.700195,7514.700195,7462.200195,7483.600098,7483.600098,525036700
2020/1/30,7483.600098,7483.600098,7357.600098,7382,7382,685501900
2020/1/31,7382,7398.299805,7275,7286,7286,714049600
2020/2/3,7286,7360,7285.200195,7326.299805,7326.299805,645846700
2020/2/4,7326.299805,7442.100098,7326.299805,7439.799805,7439.799805,696703600
2020/2/5,7439.799805,7512.399902,7408.5,7482.5,7482.5,818911400
2020/2/6,7482.5,7533.600098,7482.5,7504.799805,7504.799805,673947900
2020/2/7,7504.799805,7506.299805,7441.100098,7466.700195,7466.700195,705974200
2020/2/10,7466.700195,7466.700195,7427.899902,7446.899902,7446.899902,612817500
2020/2/11,7446.899902,7529.5,7446.899902,7499.399902,7499.399902,700689800
2020/2/12,7499.399902,7547.700195,7499,7534.399902,7534.399902,573044200
2020/2/13,7534.399902,7534.399902,7406.899902,7452,7452,823565400
2020/2/14,7452,7472.899902,7403.700195,7409.100098,7409.100098,629855000
2020/2/17,7409.100098,7450,7409.100098,7433.299805,7433.299805,394565700
2020/2/18,7433.299805,7433.299805,7353.399902,7382,7382,786827200
2020/2/19,7382,7462,7382,7457,7457,602975900
2020/2/20,7457,7480.5,7436.600098,7436.600098,7436.600098,780481500
2020/2/21,7436.600098,7436.700195,7370.600098,7403.899902,7403.899902,872594700
2020/2/24,7403.899902,7403.899902,7114.5,7156.799805,7156.799805,1081479400
2020/2/25,7156.799805,7198.200195,7004.899902,7017.899902,7017.899902,976469000
2020/2/26,7017.899902,7044.700195,6871.899902,7042.5,7042.5,982409600
2020/2/27,7042.5,7042.5,6730,6796.399902,6796.399902,1224827000
2020/2/28,6796.399902,6796.399902,6460.100098,6580.600098,6580.600098,1979835300
2020/3/2,6580.600098,6775.200195,6496,6654.899902,6654.899902,1770844200
2020/3/3,6654.899902,6846.299805,6654.899902,6718.200195,6718.200195,1277190200
2020/3/4,6718.200195,6856.299805,6700.200195,6815.600098,6815.600098,1115783100
2020/3/5,6815.600098,6834.100098,6662.600098,6705.399902,6705.399902,1146893100
2020/3/6,6705.399902,6705.399902,6431.399902,6462.600098,6462.600098,1377953500
2020/3/9,6462.600098,6462.600098,5891.600098,5965.799805,5965.799805,2098798700
2020/3/10,5965.799805,6231.100098,5927.899902,5960.200195,5960.200195,1729622400
2020/3/11,5960.200195,6088.5,5860.799805,5876.5,5876.5,1507518600
2020/3/12,5876.5,5876.5,5237.5,5237.5,5237.5,2209275500
2020/3/13,5237.5,5696.5,5237.5,5366.100098,5366.100098,1935105000
2020/3/16,5366.100098,5366.100098,4898.799805,5151.100098,5151.100098,2111567500
2020/3/17,5151.100098,5309,4978.799805,5294.899902,5294.899902,1941164900
2020/3/18,5294.899902,5294.899902,5006.200195,5080.600098,5080.600098,1837075100
2020/3/19,5080.600098,5181,4942.399902,5151.600098,5151.600098,1963412200
2020/3/20,5151.600098,5419.299805,5151.600098,5190.799805,5190.799805,2585565700
2020/3/23,5190.799805,5194.799805,4922.799805,4993.899902,4993.899902,1629604900
2020/3/24,4993.899902,5446,4993.899902,5446,5446,1582421000
2020/3/25,5446,5741.399902,5400.5,5688.200195,5688.200195,1860995600
2020/3/26,5688.200195,5815.700195,5503.399902,5815.700195,5815.700195,1536739000
2020/3/27,5815.700195,5815.700195,5407.100098,5510.299805,5510.299805,1457210400
2020/3/30,5510.299805,5567.200195,5351.799805,5563.700195,5563.700195,1136875400
2020/3/31,5563.700195,5702.700195,5545.899902,5672,5672,1602112800
2020/4/1,5672,5672,5414.700195,5454.600098,5454.600098,1670362100
2020/4/2,5454.600098,5552.399902,5395.100098,5480.200195,5480.200195,1554286900
2020/4/3,5480.200195,5486.299805,5396.700195,5415.5,5415.5,1180517400
2020/4/6,5415.5,5590.600098,5415.5,5582.399902,5582.399902,1207951800
2020/4/7,5582.399902,5780.200195,5582.399902,5704.5,5704.5,1563928500
2020/4/8,5704.5,5704.5,5589.700195,5677.700195,5677.700195,1133735000
2020/4/9,5677.700195,5842.700195,5677.700195,5842.700195,5842.700195,1290301300
2020/4/14,5842.700195,5894.700195,5779,5791.299805,5791.299805,1056846100
2020/4/15,5791.299805,5791.700195,5576.399902,5597.700195,5597.700195,1375971300
2020/4/16,5597.700195,5657.600098,5577.799805,5628.399902,5628.399902,1073687700
2020/4/17,5628.399902,5839.299805,5628.399902,5787,5787,1204085900
2020/4/20,5787,5823.899902,5707.700195,5812.799805,5812.799805,822613800
2020/4/21,5812.799805,5812.799805,5641,5641,5641,888662400
2020/4/22,5641,5777.100098,5641,5770.600098,5770.600098,866999300
2020/4/23,5770.600098,5843.600098,5735.899902,5826.600098,5826.600098,882116400
2020/4/24,5826.600098,5827.200195,5728.799805,5752.200195,5752.200195,808821600
2020/4/27,5752.200195,5855.600098,5752.200195,5846.799805,5846.799805,792246400
2020/4/28,5846.799805,5977.799805,5835.899902,5958.5,5958.5,1196850700
2020/4/29,5958.5,6129.600098,5950.799805,6115.299805,6115.299805,1288097400
