date,code,open,high,low,close,preclose,volume,amount,pctChg
2002-06-03,sh.000001,1510.2470,1510.2590,1480.0850,1483.3480,1515.7330,517919600,5062896260.0000,-2.136591
2002-06-04,sh.000001,1484.0080,1498.0510,1474.3630,1490.5140,1483.3480,457839500,4302623782.0000,0.483097
2002-06-05,sh.000001,1491.0740,1491.0740,1460.4810,1462.0000,1490.5140,440838800,4114143563.0000,-1.913034
2002-06-06,sh.000001,1458.6110,1532.7350,1455.3050,1521.2630,1462.0000,877563500,8454171955.0000,4.053553
2002-06-07,sh.000001,1522.8790,1540.8250,1508.4300,1529.5070,1521.2630,985853300,9191488779.0000,0.541919
2002-06-10,sh.000001,1529.3360,1529.3780,1511.2570,1517.2300,1529.5070,448487000,4269575560.0000,-0.802675
2002-06-11,sh.000001,1515.9930,1534.3770,1515.7460,1530.9630,1517.2300,500336300,4708529328.0000,0.905138
2002-06-12,sh.000001,1531.7500,1531.7500,1513.9190,1524.8420,1530.9630,381856500,3736411111.0000,-0.399812
2002-06-13,sh.000001,1524.7720,1529.4360,1511.2190,1511.7110,1524.8420,356452100,3701850442.0000,-0.861137
2002-06-14,sh.000001,1508.6420,1508.6470,1493.2440,1494.2460,1511.7110,391995000,3628483512.0000,-1.155319
2002-06-17,sh.000001,1489.1350,1496.8390,1481.2460,1496.2420,1494.2460,293316100,2774209819.0000,0.133577
2002-06-18,sh.000001,1496.8300,1527.7700,1496.8100,1524.0700,1496.2420,536516100,5209067897.0000,1.859860
2002-06-19,sh.000001,1523.9530,1524.0110,1506.4320,1507.6680,1524.0700,305287700,2903867130.0000,-1.076196
2002-06-20,sh.000001,1511.1150,1528.3580,1510.5280,1516.1510,1507.6680,397506100,3720233419.0000,0.562659
2002-06-21,sh.000001,1517.2750,1564.9220,1517.2550,1562.7220,1516.1510,1254214400,11847838619.0000,3.071663
2002-06-24,sh.000001,1704.6980,1709.0660,1647.4980,1707.3130,1562.7220,4851806100,49479880707.0000,9.252505
2002-06-25,sh.000001,1718.2340,1748.8900,1690.6130,1706.5910,1707.3130,4223811700,39276720823.0000,-0.042291
2002-06-26,sh.000001,1698.1100,1719.0840,1684.9130,1712.9100,1706.5910,2430587100,22850335907.0000,0.370276
2002-06-27,sh.000001,1714.7440,1730.6730,1706.1400,1723.5450,1712.9100,2199694900,19527987712.0000,0.620874
2002-06-28,sh.000001,1724.7270,1747.2330,1710.9990,1732.7550,1723.5450,2973538200,27319475280.0000,0.534362
2002-07-01,sh.000001,1736.2930,1740.3810,1712.7720,1713.7050,1732.7550,1551928200,14410127985.0000,-1.099408
