date,place,open,close,high,low,change,pct_chg,vol,amount
20210831,GDEA,38.74,39.89,39.98,38.22,1.15,2.97,52780,2105186.21
20210830,GDEA,39.7,38.74,40,37.7,-0.96,-2.42,51372,1938146.7
20210827,GDEA,38.05,39.7,39.7,38.99,1.65,4.34,50330,1997869.2
20210826,GDEA,39.28,38.05,41.48,37.5,-1.23,-3.13,59124,2222257.12
20210825,GDEA,38.11,39.28,39.48,37.89,1.17,3.07,58836,2311096.13
20210824,GDEA,38.24,38.11,39.88,37.5,-0.13,-0.34,57997,2179776.2
20210823,GDEA,38.28,38.24,40.4,38,-0.04,-0.1,7917,302750.99
20210820,GDEA,38.74,38.28,39.9,38.01,-0.46,-1.19,5600,214375.94
20210819,GDEA,37.48,38.74,39,38.7,1.26,3.36,1089,42182.69
20210818,GDEA,38.17,37.48,40.5,37.11,-0.69,-1.81,24724,926558.39
20210817,GDEA,38.52,38.17,39.99,38,-0.35,-0.91,14557,555572.58
20210816,GDEA,38.48,38.52,40.99,38.05,0.04,0.1,2485,95725.18
20210813,GDEA,39.62,38.48,41.75,38.1,-1.14,-2.88,72664,2795786.93
20210812,GDEA,40.05,39.62,40.9,38.66,-0.43,-1.07,1234,48890.55
20210811,GDEA,39.22,40.05,41.1,39,0.83,2.12,102634,4138482.49
20210810,GDEA,40.57,39.22,42,39,-1.35,-3.33,55602,2180745.72
20210809,GDEA,40.42,40.57,41.29,39.01,0.15,0.37,12345,498541.06
20210806,GDEA,40.55,40.42,41.25,37.5,-0.13,-0.32,99384,3870974.79
20210805,GDEA,40.09,40.55,41.8,40.01,0.46,1.15,4807,194919.12
20210804,GDEA,40.2,40.09,41.4,40.03,-0.11,-0.27,5222,209358.16
20210803,GDEA,40.25,40.2,41.98,38.66,-0.05,-0.12,102368,3395199.28
20210802,GDEA,40.18,40.25,42.88,40.1,0.07,0.17,156504,5564315.38
20210730,GDEA,40.41,40.18,44,40.1,-0.23,-0.57,489723,17523876.02
20210729,GDEA,40.25,40.41,43.75,39,0.16,0.4,24737,988530.74
20210728,GDEA,40.12,40.25,44,40.04,0.13,0.32,30966,1246504.18
