date,place,vol,offline_vol,amount,offline_amount,close,offline_close
20210826,TJEA20,3992,-,113053,-,28.32,-
20210824,TJEA20,4000,-,112000,-,28.0,-
20210819,TJEA20,1600,-,45120,-,28.2,-
20210817,TJEA20,3940,-,112684,-,28.6,-
20210816,TJEA20,3600,-,104400,-,29.0,-
20210812,TJEA20,5000,-,140000,-,28.0,-
20210811,TJEA20,4000,-,114000,-,28.5,-
20210809,TJEA20,10000,-,280000,-,28.0,-
20210806,TJEA20,2000,-,59000,-,29.5,-
20210805,TJEA20,6000,-,116000,-,29.0,-
20210804,TJEA20,4000,-,180000,-,30.0,-
20210803,TJEA20,4000,-,124000,-,31.0,-
20210629,TJEA20,134648,243885,4406366,8124903,32.73,33.31
20210622,TJEA20,450908,50000,14742333,1341000,32.69,26.82
20210621,TJEA20,130100,184388,4228450,5829336,32.5,31.61
20210618,TJEA20,222935,37523,7579790,1302048,34.0,34.7
20210617,TJEA20,61375,2260,2026153,78422,33.01,34.7
20210616,TJEA20,312725,19000,10249013,562500,32.77,29.61
20210615,TJEA20,40000,259090,1320000,7174060,33.0,27.69
20210611,TJEA20,5138,-,166985,-,32.5,-
20210609,TJEA20,525439,80000,17326768,2280000,32.98,28.5
20210608,TJEA20,280000,240000,9184000,8400000,32.8,35
20210607,TJEA20,320000,400000,9792000,12048000,30.6,30.12
20210604,TJEA20,117000,-,3802500,-,32.5,-
20210603,TJEA20,8810,-,290730,-,33.0,-
20210602,TJEA20,20000,-,660000,-,33.0,-
20210601,TJEA20,40000,-,1240000,-,31.0,-
20210528,TJEA20,44000,-,1311200,-,29.8,-
20210527,TJEA20,20000,-,580000,-,29.0,-
20210526,TJEA20,14200,-,397600,-,28.0,-
20210519,TJEA20,14000,-,378000,-,27.0,-
20210518,TJEA20,2000,-,58000,-,29.0,-
20210517,TJEA20,40,-,1160,-,29.0,-
20210513,TJEA20,14026,-,399741,-,28.5,-
20210428,TJEA20,7300,-,203524,-,27.88,-
20210427,TJEA20,1600,-,44800,-,28.0,-
20210426,TJEA20,13000,-,364000,-,28.0,-
20210414,TJEA20,14400,-,396000,-,27.5,-
