date,close,vol,amount
20210831,70,100,7000
20210827,61.49,15999,983733.3
20210826,66,2500,165000
20210825,67.82,22016,1493125.9
20210818,66,263,17358
20210813,66,5000,330000
20210812,63.03,10995,693001.8
20210810,71.39,1120,79960
20210722,71.23,18058,1286344
20210721,70,89,6230
20210720,61.1,9999,610938.9
20210719,60,9999,599940
20210716,61.6,12500,770000
20210715,60,110,6600
20210714,50.36,18860,949697.6
20210713,45.7,59999,2741945.8
20210712,44.54,19968,889446.4
20210709,52,1354,70408
20210708,52.78,39996,2110788.9
20210707,33,39996,1319868
20210706,41.23,15175,625695.6
20210705,50.3,2,100.6
20210702,62.9,5082,319657.8
20210629,78.6,1600,125760
20210628,75.5,13000,981500
20210625,77.2,2300,177550
20210624,67.25,200,13450
20210623,57.91,19833,1148512.2
20210618,71,4,284
20210616,70.4,7393,520467.2
20210615,88,3500,308000
20210610,93.8,300,28140
20210609,85.62,8961,767270
20210531,87.5,52,4550
20210528,77.3,1000,77300
20210527,64.35,7685,494512
20210521,79,100,7900
20210519,81.49,2610,212700
20210518,87.5,1000,87500
20210517,84.85,11000,933300
20210514,79.8,5900,470820
20210513,81.87,1030,84344
20210512,82,500,41000
20210511,82,500,41000
20210510,80,1,80
20210507,67.8,1200,81360
20210506,52.9,14963,844913.7
20210430,52.89,8791,464932
20210429,47.6,11999,571149.6
20210428,42.02,6014,252730
20210427,43.77,1200,52520
20210426,50.11,1801,90252
20210423,47,3001,141047.4
20210422,39.52,156,6164.4
20210420,35.3,7000,247100
20210419,32.4,100,3240
20210416,27,50,1350
20210415,24,17780,426720
20210414,30,6567,197010
20210407,34,4383,149022
20210331,28.41,1100,31250
20210330,30.63,1050,32160
20210319,36,50,1800
20210318,30,50,1500
20210317,25.71,7000,180000
20210302,25,2298,57450
20210223,30,2800,84000
20210208,30,3000,90000
20210205,37.5,5,187.5
20210203,46.2,4544,209932.8
20210202,38.5,2073,79810.5
20210201,46.4,1705,79112
20210126,48.75,4,195
20210125,45.04,11531,519315.4
20210122,36,13,468
